#,Project Name,Client / Company,Year,Image/file Name,Short Excerpt (for card),Technologies Used,Full Description (Rich HTML)
82,Multi-Tenant Cloud Tenant Partitioning & Billing Management,Business Systems House,2026,Multi-Tenant-Cloud-Tenant-Partitioning-Billing-Management.png,Established cloud cost center tagging and compartment-level budget tracking across OCI and M365 tenants to streamline inter-departmental billing.,"OCI Cost Analysis, Cost Center Tagging, M365 License Allocation, Budget Alerts, Excel","<h2>Multi-Tenant Cloud Tenant Partitioning & Billing Management</h2><p>Engineered a structured resource tagging schema to track cloud infrastructure expenditure and allocate operational costs to specific business units.</p><h3>Key Features & Implementation</h3><ul><li><strong>Mandatory Cost-Center Tagging:</strong> Enforced OCI tag defaults automatically tagging newly provisioned compute, storage, and networking resources.</li><li><strong>Automated Budget Threshold Alerts:</strong> Configured real-time email alerts when monthly departmental spend exceeded 80% and 100% forecast thresholds.</li><li><strong>License Quota Harvesting:</strong> Built automated license cleanup scripts to identify and reclaim inactive M365 licenses monthly.</li></ul>"
83,System Center / Endpoint Management Software Deployment Pipelines,Business Systems House,2025,System-Center-Endpoint-Management-Software-Deployment-Pipelines.png,Created automated silent software deployment packages (MSI/EXE) via Microsoft Intune and Group Policy for corporate desktop applications.,"Microsoft Intune, GPO Software Deployment, PowerShell App Deployment Toolkit (PSADT), MSI Packaging","<h2>System Center / Endpoint Management Software Deployment Pipelines</h2><p>Standardized corporate desktop software installation by packaging applications into unattended, silent deployment scripts.</p><h3>Key Features & Implementation</h3><ul><li><strong>Unattended Packaging (PSADT):</strong> Packaged complex enterprise software suites using PowerShell App Deployment Toolkit wrappers.</li><li><strong>Targeted User Group Assignments:</strong> Assigned application deployment groups in Intune based on dynamic user departmental attributes.</li><li><strong>Self-Service Company Portal:</strong> Published approved utility software to the Microsoft Intune Company Portal for end-user self-installation.</li></ul>"
84,Server Operating System In-Place Upgrade & Migration Baseline,Business Systems House,2025,Server-Operating-System-In-Place-Upgrade-Migration-Baseline.png,Executed in-place OS upgrades and migration staging for legacy Windows Server 2012 R2 instances up to Windows Server 2022 STD.,"Windows Server 2012 R2 / 2019 / 2022, Server Migration Tools, Hyper-V Checkpoints, System State Backup","<h2>Server Operating System In-Place Upgrade & Migration Baseline</h2><p>Managed technical OS upgrade cycles to migrate legacy, end-of-life Windows Server instances onto modern supported Windows Server versions.</p><h3>Key Features & Implementation</h3><ul><li><strong>System State Snapshot Validation:</strong> Created full VM checkpoints and bare-metal backup images prior to executing OS upgrades.</li><li><strong>Role & Feature Migration:</strong> Migrated Active Directory, IIS web hosting, and DHCP server roles to clean server OS builds.</li><li><strong>Application Compatibility Verification:</strong> Tested custom line-of-business software services post-upgrade to verify registry and DLL dependencies.</li></ul>"
85,Enterprise Storage System Firmware & Driver Lifecycle Management,Business Systems House,2025,Enterprise-Storage-System-Firmware-Driver-Lifecycle-Management.png,"Executed non-disruptive rolling firmware updates across enterprise SAN storage arrays, RAID controllers, and host bus adapters (HBAs).","SAN Firmware Updating, RAID Controller Drivers, HBA Firmware, Storage Manager, Non-Disruptive Updates","<h2>Enterprise Storage System Firmware & Driver Lifecycle Management</h2><p>Maintained storage array performance and security by executing scheduled, non-disruptive firmware and driver updates across storage controllers.</p><h3>Key Features & Implementation</h3><ul><li><strong>Dual-Controller Rolling Upgrades:</strong> Updated dual-controller SAN storage arrays sequentially, maintaining host I/O connectivity via multipath failover.</li><li><strong>Host HBA Driver Alignment:</strong> Aligned Fiber Channel/iSCSI Host Bus Adapter (HBA) driver versions on host servers with storage matrix recommendations.</li><li><strong>Drive Enclosure Microcode Patches:</strong> Applied SAS/SATA physical drive microcode updates to mitigate disk controller timeout bugs.</li></ul>"
86,Cybersecurity Risk Register & Impact Assessment Matrix,Business Systems House,2026,Cybersecurity-Risk-Register-Impact-Assessment-Matrix.png,"Developed the corporate Cybersecurity Risk Register, scoring threat likelihood/impact and mapping mitigation owners across IT infrastructure.","Risk Register, ISO 27005 Risk Assessment, Threat Modeling, NIST RMF, Impact Analysis","<h2>Cybersecurity Risk Register & Impact Assessment Matrix</h2><p>Established a formal IT risk management framework cataloging technical vulnerabilities, business impact scores, and mitigation action plans.</p><h3>Key Features & Implementation</h3><ul><li><strong>Likelihood vs Impact Scoring Matrix:</strong> Evaluated operational, financial, and reputational risk factors to assign standardized risk ratings (Low to Critical).</li><li><strong>Mitigation Ownership Tracking:</strong> Assigned specific technical remediations and target completion dates to system administrators.</li><li><strong>Executive Board Reporting:</strong> Prepared quarterly residual risk summaries for executive management review.</li></ul>"
87,Active Directory Domain Forest Functional Level Upgrade,Business Systems House,2025,Active-Directory-Domain-Forest-Functional-Level-Upgrade.png,"Upgraded Active Directory Domain and Forest Functional Levels to Windows Server 2016/2019, enabling Kerberos AES encryption and AD Recycle Bin.","Active Directory (AD DS), Forest Functional Level, Kerberos AES, AD Recycle Bin, ntdsutil",<h2>Active Directory Domain Forest Functional Level Upgrade</h2><p>Executed domain functional level upgrades across Active Directory forests to unlock modern security features and authentication protocols.</p><h3>Key Features & Implementation</h3><ul><li><strong>Active Directory Health Auditing:</strong> Verified SYSVOL DFRS replication health and cleaned up stale metadata using ntdsutil prior to raising levels.</li><li><strong>AD Recycle Bin Activation:</strong> Enabled the Active Directory Recycle Bin feature allowing instant recovery of accidentally deleted user/group objects.</li><li><strong>Kerberos AES Encryption Enforcement:</strong> Standardized Kerberos AES-128 and AES-256 encryption support across all service accounts and domain controllers.</li></ul>
88,Virtual Machine Snapshot Architecture & Backup Storage Thinning,Business Systems House,2026,Virtual-Machine-Snapshot-Architecture-Backup-Storage-Thinning.png,Engineered automated hypervisor snapshot consolidation and backup storage deduplication routines to recover SAN block storage capacity.,"Veeam Backup & Replication, Hyper-V Checkpoint Consolidation, Deduplication, ReFS Storage",<h2>Virtual Machine Snapshot Architecture & Backup Storage Thinning</h2><p>Implemented automated backup repository deduplication and hypervisor checkpoint monitoring to prevent storage allocation exhaustion.</p><h3>Key Features & Implementation</h3><ul><li><strong>Orphaned Checkpoint Auto-Detection:</strong> Built PowerShell scripts to flag and gracefully consolidate lingering hypervisor checkpoints older than 72 hours.</li><li><strong>ReFS Block-Cloning Storage:</strong> Configured ReFS synthetic full backup repositories utilizing fast-clone technology to save storage space.</li><li><strong>GFS Backup Retention Policy:</strong> Standardized Grandfather-Father-Son (GFS) backup retention chains for compliant long-term archival.</li></ul>
89,Enterprise Proxy Auto-Configuration (PAC) & Web Routing Architecture,Business Systems House,2025,Enterprise-Proxy-Auto-Configuration-(PAC)-Web-Routing-Architecture.png,Authored and deployed Proxy Auto-Configuration (wpad.dat / PAC) scripts to dynamically route client browser web traffic through perimeter proxies.,"PAC Files, WPAD, JavaScript, Explicit Proxy, FortiGate, Group Policy (GPO)",<h2>Enterprise Proxy Auto-Configuration (PAC) & Web Routing Architecture</h2><p>Designed intelligent browser traffic redirection by deploying centralized PAC files to manage explicit proxy routing for corporate endpoints.</p><h3>Key Features & Implementation</h3><ul><li><strong>Dynamic Traffic Routing Logic:</strong> Authored custom JavaScript PAC functions bypassing proxies for internal RFC1918 subnets while enforcing proxying for internet targets.</li><li><strong>Failover Proxy Redundancy:</strong> Configured primary and secondary proxy fallback declarations to guarantee uninterrupted web browsing during proxy maintenance.</li><li><strong>GPO WPAD Deployment:</strong> Published PAC file locations dynamically via DHCP Option 252 and Group Policy Internet Settings.</li></ul>
90,Network Address Translation (NAT) & Port Forwarding Architecture,Business Systems House,2026,Network-Address-Translation-(NAT)-Port-Forwarding-Architecture.png,"Configured Static SNAT/DNAT, VIP port forwarding, and Central NAT rules on FortiGate firewalls to publish internal web and SFTP services securely.","FortiGate Central NAT, VIPs, Destination NAT (DNAT), Source NAT (SNAT), IP Pools","<h2>Network Address Translation (NAT) & Port Forwarding Architecture</h2><p>Architected clean perimeter NAT policies mapping public IP addresses to isolated internal DMZ server endpoints with explicit port restriction.</p><h3>Key Features & Implementation</h3><ul><li><strong>Virtual IP (VIP) Mapping:</strong> Mapped static external public IP addresses to internal DMZ server IPs restricted strictly to required listening ports (e.g., 443, 22).</li><li><strong>Source NAT (SNAT) IP Pools:</strong> Configured outbound overload NAT IP pools to prevent perimeter gateway IP port exhaustion during peak user hours.</li><li><strong>Hairpin NAT Routing:</strong> Configured loopback NAT rules allowing internal office users to resolve public FQDNs to local servers seamlessly.</li></ul>"
91,Database Maintenance Automation & Index Defragmentation,Business Systems House,2025,Database-Maintenance-Automation-Index-Defragmentation.png,"Automated database maintenance jobs, including index rebuilding, table statistics updates, and transaction log truncation for high-load systems.","Oracle DB, SQL Server Maintenance Plans, T-SQL, PL/SQL, Index Defragmentation, Cron / Agent Jobs",<h2>Database Maintenance Automation & Index Defragmentation</h2><p>Engineered automated off-peak database maintenance tasks to optimize query execution plans and prevent transaction log bloat.</p><h3>Key Features & Implementation</h3><ul><li><strong>Automated Index Rebuilding:</strong> Programmed conditional maintenance tasks rebuilding fragmented indexes based on fragmentation percentage thresholds (>30%).</li><li><strong>Optimizer Statistics Maintenance:</strong> Configured nightly statistics gathering tasks ensuring query optimizers utilize accurate data distribution statistics.</li><li><strong>Log Truncation & Shrink Maintenance:</strong> Managed transaction log backup and truncation routines to maintain stable storage utilization.</li></ul>
92,Multi-Tenant Cloud IAM Governance & Least-Privilege Audit,Business Systems House,2026,Multi-Tenant-Cloud-IAM-Governance-Least-Privilege-Audit.png,"Audited cloud IAM role assignments across Azure and OCI tenancies, revoking over-privileged administrative rights and enforcing least-privilege RBAC.","Entra ID IAM, OCI IAM, IAM Audit, RBAC, Least-Privilege Enforcement, PowerShell",<h2>Multi-Tenant Cloud IAM Governance & Least-Privilege Audit</h2><p>Executed comprehensive cloud identity audits to eliminate over-privileged user access and enforce strict role-based access governance.</p><h3>Key Features & Implementation</h3><ul><li><strong>Global Admin Role Pruning:</strong> Reduced Global Administrator and Tenant Admin assignments to the absolute minimum necessary personnel.</li><li><strong>Custom Granular RBAC Roles:</strong> Replaced broad built-in admin roles with custom IAM roles scoped strictly to required resource groups.</li><li><strong>Automated Access Reviews:</strong> Configured periodic Entra ID Access Reviews requiring department heads to certify user group memberships quarterly.</li></ul>
93,Enterprise File Server Migration & NTFS Permission Inheritance,Business Systems House,2025,Enterprise-File-Server-Migration-NTFS-Permission-Inheritance.png,"Migrated multi-terabyte corporate file shares to new Windows Server storage hosts, preserving NTFS access control lists (ACLs) and share permissions.","Windows Server File Services, Robocopy, NTFS ACLs, File System Auditing, DFS-N","<h2>Enterprise File Server Migration & NTFS Permission Inheritance</h2><p>Engineered multi-phase data migrations for shared departmental file drives while preserving complex NTFS security permissions and SID histories.</p><h3>Key Features & Implementation</h3><ul><li><strong>ACL-Preserved Data Sync:</strong> Executed multi-pass Robocopy mirror scripts preserving security descriptors, timestamps, and NTFS ACL inheritance.</li><li><strong>Distributed File System Namespaces (DFS-N):</strong> Configured DFS Namespaces mapping drive letters to logical paths to decouple client mappings from physical server names.</li><li><strong>Cutover Window Execution:</strong> Executed delta file synchronization during off-peak weekend windows to guarantee zero data drift post-cutover.</li></ul>"
94,Enterprise Password Policy & Fine-Grained Password Settings (FGPP),Business Systems House,2025,Enterprise-Password-Policy-Fine-Grained-Password-Settings-(FGPP).png,Configured Active Directory Fine-Grained Password Policies (FGPP) to enforce 16+ character passphrases and lockout rules for privileged accounts.,"Active Directory FGPP, Password Policy, Account Lockout Thresholds, PowerShell, AD Administrative Center",<h2>Enterprise Password Policy & Fine-Grained Password Settings (FGPP)</h2><p>Architected differential password complexity baselines by deploying Active Directory Fine-Grained Password Policies to high-privilege account groups.</p><h3>Key Features & Implementation</h3><ul><li><strong>Privileged Account Passphrase Baselines:</strong> Enforced mandatory 16-character minimum passphrases and 90-day rotation for Domain Admin accounts.</li><li><strong>Account Lockout Hardening:</strong> Configured aggressive account lockout thresholds (5 invalid attempts) to mitigate brute-force password guessing attacks.</li><li><strong>Breached Password Dictionary Checks:</strong> Integrated password filter DLLs checking new password attempts against known breached password lists.</li></ul>
95,Enterprise Web Application Performance Tuning & Caching,Business Systems House,2026,Enterprise-Web-Application-Performance-Tuning-Caching.png,"Optimized web application response times through HTTP Gzip/Brotli compression, static asset browser caching, and database query caching.","IIS, Apache, NGINX, HTTP Compression, Gzip, Browser Caching, WebLogic Caching","<h2>Enterprise Web Application Performance Tuning & Caching</h2><p>Engineered web server performance optimizations to accelerate web application load speeds and reduce database query overhead.</p><h3>Key Features & Implementation</h3><ul><li><strong>HTTP Compression Enablement:</strong> Configured Gzip and Brotli response compression on web servers, reducing payload transfer sizes by up to 70%.</li><li><strong>Static Content Caching Headers:</strong> Set long-lived Cache-Control and ETag headers for images, CSS, and JavaScript static assets.</li><li><strong>Connection Keep-Alive Optimization:</strong> Tuned HTTP Keep-Alive timeouts and maximum connection limits to handle concurrent user spikes.</li></ul>"
96,Server Operating System Security Patching Automation,Business Systems House,2025,Server-Operating-System-Security-Patching-Automation.png,Automated monthly server OS security patching cycles across Windows and Linux server fleets using WSUS and automated orchestration scripts.,"WSUS, Windows Update for Business, Linux YUM/DNF Automation, PowerShell, Maintenance Windows","<h2>Server Operating System Security Patching Automation</h2><p>Architected automated monthly security patch management pipelines to maintain 100% OS patch compliance across server infrastructure.</p><h3>Key Features & Implementation</h3><ul><li><strong>Staged Patch Rollout Groups:</strong> Structured patch deployment into Test (Day +3), Staging (Day +7), and Production (Day +14) maintenance rings.</li><li><strong>Automated Pre/Post Reboot Verification:</strong> Built PowerShell post-patching scripts verifying critical service status before closing maintenance windows.</li><li><strong>Patch Compliance Reporting:</strong> Generated automated monthly patch compliance dashboards highlighting unpatched or reboot-pending hosts.</li></ul>"
97,Multi-Factor Authentication (MFA) Soft-Token Migration & Support,Business Systems House,2025,Multi-Factor-Authentication-(MFA)-Soft-Token-Migration-Support.png,"Migrated staff users from SMS-based 2FA to Microsoft Authenticator app soft-tokens, configuring Number Matching and Location Context.","Microsoft Authenticator, Entra ID MFA, Number Matching, FIDO2, Security Keys",<h2>Multi-Factor Authentication (MFA) Soft-Token Migration & Support</h2><p>Hardened multi-factor authentication security by migrating users from vulnerable SMS text messages to push-notification soft tokens.</p><h3>Key Features & Implementation</h3><ul><li><strong>Number Matching & Location Display:</strong> Enforced Number Matching in Microsoft Authenticator prompts to prevent MFA fatigue attack exploitation.</li><li><strong>SMS Deprecation Campaign:</strong> Authored end-user setup guides and led transition workshops onboarding staff to smartphone authenticator apps.</li><li><strong>FIDO2 Hardware Key Provisioning:</strong> Deployed physical FIDO2 USB security keys for high-risk administrative users operating in sensitive environments.</li></ul>
98,Enterprise Directory Synchronization & Azure AD Connect Hardening,Business Systems House,2026,Enterprise-Directory-Synchronization-Azure-AD-Connect-Hardening.png,"Deployed and hardened Azure AD Connect (Entra Connect) directory sync, configuring Password Hash Sync (PHS), Seamless SSO, and OU filtering.","Azure AD Connect / Entra Connect, Password Hash Sync (PHS), Seamless SSO, Active Directory, OU Filtering",<h2>Enterprise Directory Synchronization & Azure AD Connect Hardening</h2><p>Configured hybrid identity synchronization using Azure AD Connect to securely bridge on-premises Active Directory with Microsoft 365.</p><h3>Key Features & Implementation</h3><ul><li><strong>Password Hash Sync (PHS) & Leaked Credential Detection:</strong> Enabled PHS with Leaked Credentials Detection to identify compromised corporate passwords automatically.</li><li><strong>Selective OU Sync Filtering:</strong> Filtered directory synchronization scope to sync approved user and group Organizational Units only.</li><li><strong>Staging Server Redundancy:</strong> Configured a secondary Azure AD Connect server in Staging Mode for rapid standby failover.</li></ul>
99,Virtual Machine Resource Allocation & Memory Dynamic Optimization,Business Systems House,2025,Virtual-Machine-Resource-Allocation-Memory-Dynamic-Optimization.png,"Optimized virtual machine vCPU and RAM allocations across Hyper-V host clusters, implementing Dynamic Memory allocation to maximize density.","Windows Server Hyper-V, Dynamic Memory, vCPU Sizing, NUMA Node Balancing, Resource Metering","<h2>Virtual Machine Resource Allocation & Memory Dynamic Optimization</h2><p>Optimized hypervisor host resource utilization to eliminate vCPU overcommit contention and recover physical RAM capacity.</p><h3>Key Features & Implementation</h3><ul><li><strong>Dynamic Memory Configuration:</strong> Configured Dynamic Memory startup, minimum, and maximum RAM buffer limits for stateless server workloads.</li><li><strong>Non-Uniform Memory Access (NUMA) Alignment:</strong> Aligned large database VM memory footprints to single physical NUMA nodes to reduce memory latency.</li><li><strong>Resource Metering & Right-Sizing:</strong> Audited hypervisor CPU/RAM utilization logs to right-size over-provisioned virtual machine shapes.</li></ul>"
100,Enterprise IT Service Desk Knowledge Base & SOP Standardization,Business Systems House,2026,Enterprise-IT-Service-Desk-Knowledge-Base-SOP-Standardization.png,Authored comprehensive IT Service Desk Standard Operating Procedures (SOPs) and self-service knowledge base articles following ITIL guidelines.,"ITIL v4 Framework, Technical Writing, Documentation, Knowledge Base, Incident Management","<h2>Enterprise IT Service Desk Knowledge Base & SOP Standardization</h2><p>Standardized IT support operations by authoring structured Standard Operating Procedures (SOPs) and end-user troubleshooting documentation.</p><h3>Key Features & Implementation</h3><ul><li><strong>Service Desk SOP Library:</strong> Authored step-by-step procedures for account provisioning, MFA resets, printer mapping, and VPN troubleshooting.</li><li><strong>Self-Service Knowledge Base:</strong> Published illustrated end-user guides empowering staff to resolve common software queries independently.</li><li><strong>ITIL Process Mapping:</strong> Standardized Incident, Service Request, and Problem Management workflows to reduce ticket resolution SLAs.</li></ul>"
101,Pakistan Pavilion Interactive AV & Automation Infrastructure,Expo 2020 Dubai / Farnek,2021,Pakistan-Pavilion-Interactive-AV-Automation-Infrastructure.png,"Designed and managed core IT, PABX, CCTV, WLAN, and automated PLC control systems for the Pakistan Pavilion exhibit displays.","PLC Automation, AV Control Systems, PABX, CCTV, Custom Shell Scripts, Cisco Catalyst","<h2>Pakistan Pavilion Interactive AV & Automation Infrastructure</h2><p>Engineered and maintained the complete technical infrastructure, interactive AV displays, and automation server controllers for the Pakistan Pavilion at World Expo 2020.</p><h3>Key Features & Implementation</h3><ul><li><strong>PLC & AV Remote Automation:</strong> Developed custom scripts for automated power cycling, status monitoring, and remote scene control across exhibit display servers.</li><li><strong>Converged Venue Network:</strong> Administered high-density Wi-Fi 6, IP CCTV cameras, access control doors, and PABX telephony networks across the pavilion.</li><li><strong>High-Uptime SLA:</strong> Maintained continuous technical operational uptime throughout the 6-month international event.</li></ul>"
102,Government IT Infrastructure RFP & Technical Proposal Architecture,Al Zain Oasis Technology,2019,Government-IT-Infrastructure-RFP-Technical-Proposal-Architecture.png,"Researched, drafted, and submitted technical proposals and BOMs for major UAE government RFPs (MOFAC, MOE, MOI, MOHAP).","RFP Technical Writing, Bill of Materials (BOM), Network Design, Infrastructure Audit","<h2>Government IT Infrastructure RFP & Technical Proposal Architecture</h2><p>Architected comprehensive technical proposals, network designs, and hardware BOMs responding to enterprise RFPs for UAE federal ministries.</p><h3>Key Features & Implementation</h3><ul><li><strong>Enterprise Client Scope:</strong> Delivered technical solutions for MOFAC, MOE, MOI, MOHAP, MOHRE, SEWA, and FEWA.</li><li><strong>Compliance & Policy Alignment:</strong> Aligned hardware architecture specifications with government cyber security baselines and data sovereignty mandates.</li><li><strong>BOM Cost Optimization:</strong> Formulated structured cost-effective hardware bills of materials for core networking and server infrastructure.</li></ul>"
103,Enterprise Digital Rights Management (EDRM) RFP Specifications,Awqaf / Government Entity,2020,Enterprise-Digital-Rights-Management-(EDRM)-RFP-Specifications.png,"Authored end-to-end RFP specifications for Enterprise Digital Rights Management, email encryption, and file access governance.","EDRM, Information Rights Management (IRM), Outlook DLP, Data Classification","<h2>Enterprise Digital Rights Management (EDRM) RFP Specifications</h2><p>Authored formal technical requirements for deploying enterprise-wide document classification, dynamic watermarking, and digital rights tracking.</p><h3>Key Features & Implementation</h3><ul><li><strong>Granular Rights Enforcement:</strong> Defined specifications restricting file printing, screen captures, editing, and forwarding for sensitive documents.</li><li><strong>Dynamic Watermarking:</strong> Mandated dynamic user-IP and timestamp watermarks on opened corporate attachments.</li><li><strong>M365 & Email Integration:</strong> Detailed seamless integration with Outlook DLP and local file servers.</li></ul>"
104,Fortinet FortiGate Perimeter Firewall Policy Optimization,Business Systems House,2025,Fortinet-FortiGate-Perimeter-Firewall-Policy-Optimization.png,"Audited, consolidated, and hardened Fortinet FortiGate firewall rulesets, eliminating redundant NAT policies and open ports.","Fortinet FortiGate (FG-121G), FortiOS, FortiAnalyzer, IPsec VPN, Deep Packet Inspection","<h2>Fortinet FortiGate Perimeter Firewall Policy Optimization</h2><p>Executed comprehensive firewall policy cleanup and security profile hardening across enterprise perimeter firewalls.</p><h3>Key Features & Implementation</h3><ul><li><strong>Rule Consolidation:</strong> Audited 200+ legacy firewall rules, removing duplicate policies and tight-scoping wildcard port permissions.</li><li><strong>Deep Packet Inspection (DPI):</strong> Enforced SSL Deep Packet Inspection, IPS signatures, and Web Content Filtering across production subnets.</li><li><strong>Automated Backup & Syslog:</strong> Configured automated configuration snapshot backups to FortiAnalyzer.</li></ul>"
105,Server Room Cabling & Physical Infrastructure Deployment,Business Systems House,2025,Server-Room-Cabling-Physical-Infrastructure-Deployment.png,"Engineered hardware racking, Cat6A/fiber patch cabling, VLAN trunking, and power distribution for server room upgrades.","Cat6A / Fiber Optics, Structured Cabling, Cisco / FortiSwitch, Rack Optimization, PDU","<h2>Server Room Cabling & Physical Infrastructure Deployment</h2><p>Designed standard operating procedures and physical layouts for server deployments, rack mounting, and network patch panel terminations.</p><h3>Key Features & Implementation</h3><ul><li><strong>Structured Cabling Standards:</strong> Implemented color-coded patching standards for DMZ, management, and internal production networks.</li><li><strong>VLAN & Switch Mapping:</strong> Mapped non-overlapping subnets and 802.1Q trunking across rack-mounted switches.</li><li><strong>Power Path Redundancy:</strong> Distributed server dual-power supplies across independent UPS PDUs.</li></ul>"
106,Internal Network Vulnerability Assessment & Remediation (VAPT),Business Systems House,2025,Internal-Network-Vulnerability-Assessment-Remediation-(VAPT).png,"Led internal vulnerability scanning and penetration test remediation, achieving zero high-risk findings across production subnets.","Qualys Cloud Agents, Network Scanner, OS Hardening, VAPT Remediation","<h2>Internal Network Vulnerability Assessment & Remediation (VAPT)</h2><p>Overseen internal network vulnerability scanning programs and patched identified SSL/TLS and SMB configuration flaws.</p><h3>Key Features & Implementation</h3><ul><li><strong>Continuous Scanning:</strong> Deployed Qualys agents across private VLANs and web hosting DMZs.</li><li><strong>System Hardening:</strong> Remediated open SSL ciphers, unpatched Windows components, and weak SMB protocol settings.</li><li><strong>Executive TruRisk Reporting:</strong> Prepared executive-ready risk summary reports detailing remediation timelines.</li></ul>"
107,Healthcare Management System Security Architecture,Healthcare IT Sector,2024,Healthcare-Management-System-Security-Architecture.png,Designed security access controls and data encryption standards for healthcare information systems to safeguard patient privacy.,"HIPAA Compliance, Active Directory RBAC, TLS 1.3, Data Encryption",<h2>Healthcare Management System Security Architecture</h2><p>Implemented role-based access control and encrypted communication protocols for healthcare management platforms.</p><h3>Key Features & Implementation</h3><ul><li><strong>Least-Privilege Access Control:</strong> Enforced fine-grained RBAC permissions for clinical staff accessing medical databases.</li><li><strong>Data Encryption:</strong> Standardized TLS 1.3 encryption in-transit and AES-256 encryption at-rest for patient records.</li><li><strong>Audit Logging:</strong> Configured comprehensive log retention pipelines tracking user record access.</li></ul>
108,ISO 27001 Security Policy & Operational Framework Setup,Al Zain Oasis Technology,2022,ISO-27001-Security-Policy-Operational-Framework-Setup.png,"Researched, drafted, and operationalized security policies, access standards, and incident procedures adhering to ISO 27001.","ISO 27001, Information Security Governance, Risk Management, Security SOPs","<h2>ISO 27001 Security Policy & Operational Framework Setup</h2><p>Developed enterprise IT security policies and operational procedures to establish baseline security governance.</p><h3>Key Features & Implementation</h3><ul><li><strong>Policy Development:</strong> Drafted Password Policies, Acceptable Use Policies, and Access Control Matrices.</li><li><strong>Asset Classification:</strong> Categorized hardware, software, and data assets based on business criticality.</li><li><strong>Audit Preparedness:</strong> Established internal audit review cycles to ensure continuous compliance.</li></ul>"
109,Corporate PABX Telephony & IP-PBX Trunk Migration,Electritech Technology,2018,Corporate-PABX-Telephony-IP-PBX-Trunk-Migration.png,"Configured and deployed Grandstream / Asterisk IP-PBX systems, SIP trunks, IVR trees, and extension routing across corporate offices.","IP-PBX, Grandstream, SIP Trunking, VoIP, IVR, Voice VLANs",<h2>Corporate PABX Telephony & IP-PBX Trunk Migration</h2><p>Engineered IP telephony infrastructure to replace legacy analog PABX systems with encrypted SIP voice communication.</p><h3>Key Features & Implementation</h3><ul><li><strong>Voice Network Isolation:</strong> Isolated voice traffic onto a dedicated 802.1Q Voice VLAN with QoS priority.</li><li><strong>Interactive Voice Response (IVR):</strong> Configured multi-level IVR auto-attendants and call hunting groups.</li><li><strong>SIP Trunk Security:</strong> Hardened SIP transport channels against unauthorized toll-fraud exploitation.</li></ul>
110,CCTV & Physical Access Control System (PACS) Integration,Electritech Technology,2017,CCTV-Physical-Access-Control-System-(PACS)-Integration.png,"Deployed network video recorders (NVRs), IP cameras, and door access controller hardware for multi-tenant commercial facilities.","Hikvision NVR, Biometric Door Controllers, IP CCTV, Access Control, Wiegand",<h2>CCTV & Physical Access Control System (PACS) Integration</h2><p>Designed and installed physical security systems combining IP camera surveillance and RFID/Biometric access control.</p><h3>Key Features & Implementation</h3><ul><li><strong>High-Retention Video Storage:</strong> Configured H.265 compression and RAID-5 NVR storage arrays for 90-day video retention.</li><li><strong>Door Access Controllers:</strong> Integrated magnetic locks and biometric card readers with central management software.</li><li><strong>Network Isolation:</strong> Placed physical security controllers on an air-gapped security network segment.</li></ul>
111,Multi-Site Site-to-Site IPsec VPN Network Deployment,Al Zain Oasis Technology,2021,Multi-Site-Site-to-Site-IPsec-VPN-Network-Deployment.png,Configured site-to-site IPsec VPN tunnels across regional branch offices to enable secure internal application access.,"IPsec VPN, AES-256, FortiGate, Router Configuration, Dynamic Routing",<h2>Multi-Site Site-to-Site IPsec VPN Network Deployment</h2><p>Architected encrypted WAN connectivity connecting branch office networks to central datacenter services.</p><h3>Key Features & Implementation</h3><ul><li><strong>AES-256 Encryption:</strong> Enforced AES-256 encryption and SHA-256 authentication hash baselines on VPN tunnels.</li><li><strong>Redundant Tunneling:</strong> Configured backup VPN paths over secondary ISP links for automatic failover.</li><li><strong>Centralized Access Control:</strong> Restricted inter-site traffic to specific required server IPs and ports.</li></ul>
112,Enterprise Endpoint Antivirus & Security Deployment,Electritech Technology,2018,Enterprise-Endpoint-Antivirus-Security-Deployment.png,"Deployed centralized Endpoint Protection (Kaspersky / Symantec) across client workstations, automating daily virus definition updates.","Antivirus Central Console, Endpoint Protection, GPO Deployment, Malware Remediation",<h2>Enterprise Endpoint Antivirus & Security Deployment</h2><p>Centralized malware protection across 150+ desktop endpoints using centralized administrative management consoles.</p><h3>Key Features & Implementation</h3><ul><li><strong>Automated Agent Push:</strong> Deployed security agents remotely via Active Directory Group Policy scripts.</li><li><strong>Local Mirror Update Server:</strong> Configured internal update mirrors to conserve external internet bandwidth.</li><li><strong>USB Drive Inspection:</strong> Enforced real-time scanning and mass storage device blocking.</li></ul>
113,Windows Server Active Directory Domain Controller Migration,Electritech Technology,2017,Windows-Server-Active-Directory-Domain-Controller-Migration.png,"Promoted Windows Server 2016 Domain Controllers, migrated FSMO roles, and upgraded domain functional levels.","Windows Server 2016, Active Directory, FSMO Roles, DNS, DFRS Replication","<h2>Windows Server Active Directory Domain Controller Migration</h2><p>Executed domain infrastructure upgrades, migrating legacy Active Directory environments onto Windows Server 2016.</p><h3>Key Features & Implementation</h3><ul><li><strong>FSMO Role Transfer:</strong> Seamlessly transferred Schema, RID, and PDC Emulator roles to new hardware.</li><li><strong>SYSVOL DFRS Migration:</strong> Migrated legacy FRS SYSVOL replication to DFRS.</li><li><strong>DNS Zone Health:</strong> Cleaned up stale DNS records and active directory tombstone objects.</li></ul>"
